scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,2;4;11;17,4;2;11,2;11,"{""2"": 37, ""11"": 26}","{""2"": 4795, ""4"": 4886, ""11"": 2980}",124400,42.66963292547275,10,40.0,100.0,200.0,2500000,655744,655744,1,ns3,899,0.5,10,12,28,,,[],[],2>4:0;11>4:7,,36,44,
2026_07_15_01_26_56,000060,9,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,9;12;13;14,9;14;13,14;13,"{""13"": 37, ""14"": 37}","{""9"": 4858, ""13"": 4679, ""14"": 4980}",154544,44.31590656284761,10,40.0,100.0,200.0,2500000,655744,655744,1,ns3,899,0.5,10,12,28,,,[],[],13>9:5;14>9:1,,9,26,
2026_07_15_01_26_56,000060,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,1;3;8;10,10;3;1,3;1,"{""1"": 33, ""3"": 37}","{""1"": 4761, ""3"": 4841, ""10"": 4953}",153632,43.07897664071191,10,40.0,100.0,200.0,2500000,655744,655744,1,ns3,899,0.5,10,12,28,,,[],[],1>10:6;3>10:2,,30,44,
2026_07_15_01_26_56,000060,19,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,5;6;16;19,19;16;5,16;5,"{""5"": 27, ""16"": 37}","{""5"": 4429, ""16"": 4804, ""19"": 4844}",147728,42.749721913236925,10,40.0,100.0,200.0,2500000,655744,655744,1,ns3,899,0.5,10,12,28,,,[],[],5>19:8;16>19:3,,19,32,
2026_07_15_01_26_56,000060,20,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,7;15;18;20,20;7;18,7;18,"{""7"": 37, ""18"": 14}","{""7"": 4429, ""18"": 286, ""20"": 4909}",75440,39.41268075639599,10,40.0,100.0,200.0,2500000,655744,655744,1,ns3,899,0.5,10,12,28,,,[],[],7>20:4;18>20:9,,20,27,
2026_07_15_01_26_56,000062,2,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,2;12;15;16,2;12;15,12;15,"{""12"": 37, ""15"": 26}","{""2"": 4862, ""12"": 4811, ""15"": 4429}",147840,42.812013348164626,10,40.0,100.0,200.0,2500000,661712,661712,1,ns3,899,0.5,10,12,28,,,[],[],12>2:0;15>2:8,,26,37,
2026_07_15_01_26_56,000062,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,5;8;11;17,5;17;11,17;11,"{""11"": 25, ""17"": 37}","{""5"": 4912, ""11"": 3509, ""17"": 4835}",133504,43.02558398220245,10,40.0,100.0,200.0,2500000,661712,661712,1,ns3,899,0.5,10,12,28,,,[],[],11>5:7;17>5:1,,19,28,
2026_07_15_01_26_56,000062,9,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,1;7;9;19,9;7;19,7;19,"{""7"": 37, ""19"": 37}","{""7"": 4768, ""9"": 4859, ""19"": 4737}",152080,42.4293659621802,10,40.0,100.0,200.0,2500000,661712,661712,1,ns3,899,0.5,10,12,28,,,[],[],7>9:2;19>9:6,,17,22,
2026_07_15_01_26_56,000062,13,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,6;13;14;18,13;14,14,"{""14"": 37}","{""13"": 4793, ""14"": 4968}",79488,44.209121245828705,10,40.0,100.0,200.0,2500000,661712,661712,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3,,0,11,
2026_07_15_01_26_56,000062,20,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,3;4;10;20,20;3;10,3;10,"{""3"": 37, ""10"": 31}","{""3"": 4807, ""10"": 4493, ""20"": 4908}",148800,42.77641824249166,10,40.0,100.0,200.0,2500000,661712,661712,1,ns3,899,0.5,10,12,28,,,[],[],3>20:4;10>20:5,,26,42,
2026_07_15_01_26_56,000064,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,1;5;9;15,1;9;15,9;15,"{""9"": 37, ""15"": 20}","{""1"": 4921, ""9"": 4838, ""15"": 4178}",144256,43.052280311457174,10,40.0,100.0,200.0,2500000,726624,726624,1,ns3,899,0.5,10,12,28,,,[],[],9>1:0;15>1:9,,30,39,
