scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,1;2;8;11,1;11;2,11;2,"{""2"": 37, ""11"": 37}","{""1"": 4918, ""2"": 4712, ""11"": 4550}",148192,41.931034482758626,10,40.0,100.0,200.0,2500000,680608,680608,1,ns3,899,0.5,10,12,28,,,[],[],2>1:5;11>1:0,,24,40,
2026_07_15_01_26_56,000060,3,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,3;10;17;18,3;10;17,10;17,"{""10"": 37, ""17"": 37}","{""3"": 4977, ""10"": 4903, ""17"": 4792}",155120,43.63070077864294,10,40.0,100.0,200.0,2500000,680608,680608,1,ns3,899,0.5,10,12,28,,,[],[],10>3:1;17>3:6,,20,40,
2026_07_15_01_26_56,000060,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,5;9;16;20,5;9;16,9;16,"{""9"": 37, ""16"": 37}","{""5"": 4909, ""9"": 4437, ""16"": 4790}",147632,42.62513904338154,10,40.0,100.0,200.0,2500000,680608,680608,1,ns3,899,0.5,10,12,28,,,[],[],9>5:2;16>5:7,,20,32,
2026_07_15_01_26_56,000060,7,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,4;7;12;19,7;12;4,12;4,"{""4"": 37, ""12"": 37}","{""4"": 4687, ""7"": 4908, ""12"": 4685}",149952,41.708565072302555,10,40.0,100.0,200.0,2500000,680608,680608,1,ns3,899,0.5,10,12,28,,,[],[],4>7:8;12>7:3,,26,42,
2026_07_15_01_26_56,000060,13,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,6;13;14;15,13;14;15,14;15,"{""14"": 37, ""15"": 1}","{""13"": 4793, ""14"": 4980, ""15"": 2}",79712,44.31590656284761,10,40.0,100.0,200.0,2500000,680608,680608,1,ns3,899,0.5,10,12,28,,,[],[],14>13:4;15>13:9,,2,18,
2026_07_15_01_26_56,000062,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4921, ""2"": 4365, ""11"": 4780}",146320,42.53615127919911,10,40.0,100.0,200.0,2500000,606448,606448,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,27,40,
2026_07_15_01_26_56,000062,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,4;14;15;17,4;14;17,14;17,"{""14"": 37, ""17"": 15}","{""4"": 4848, ""14"": 4968, ""17"": 324}",84672,44.209121245828705,10,40.0,100.0,200.0,2500000,606448,606448,1,ns3,899,0.5,10,12,28,,,[],[],14>4:1;17>4:8,,12,34,
2026_07_15_01_26_56,000062,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,5;9;16;20,5;9;16,9;16,"{""9"": 37, ""16"": 37}","{""5"": 4912, ""9"": 4438, ""16"": 4800}",147808,42.71412680756396,10,40.0,100.0,200.0,2500000,606448,606448,1,ns3,899,0.5,10,12,28,,,[],[],9>5:2;16>5:5,,20,32,
2026_07_15_01_26_56,000062,7,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,7;12;13;19,7;13;12,13;12,"{""12"": 37, ""13"": 37}","{""7"": 4906, ""12"": 4625, ""13"": 4746}",149936,42.23359288097887,10,40.0,100.0,200.0,2500000,606448,606448,1,ns3,899,0.5,10,12,28,,,[],[],12>7:7;13>7:3,,21,42,
2026_07_15_01_26_56,000062,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,seac_social_adaptive,5,,3;6;10;18,10;3;18,3;18,"{""3"": 37, ""18"": 1}","{""3"": 4833, ""10"": 4955, ""18"": 24}",77712,43.007786429365964,10,40.0,100.0,200.0,2500000,606448,606448,1,ns3,899,0.5,10,12,28,,,[],[],3>10:4;18>10:9,,18,38,
