scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,7,,1;10;11,1;10,10,"{""10"": 37}","{""1"": 4918, ""10"": 4903}",78448,43.63070077864294,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],10>1:0,,13,41,
2026_07_15_01_26_56,000060,8,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,7,,2;8;9,8;2,2,"{""2"": 37}","{""2"": 4795, ""8"": 4838}",76720,42.66963292547275,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],2>8:1,,13,39,
2026_07_15_01_26_56,000060,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,7,,4;7;12,12;4,4,"{""4"": 37}","{""4"": 4806, ""12"": 4891}",76896,42.767519466073416,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],4>12:2,,14,34,
2026_07_15_01_26_56,000060,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,7,,13;14;19,13;14,14,"{""14"": 37}","{""13"": 4793, ""14"": 4980}",79680,44.31590656284761,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],14>13:3,,0,11,
2026_07_15_01_26_56,000060,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,7,,6;15,15;6,6,"{""6"": 37}","{""6"": 4464, ""15"": 4740}",71424,39.724137931034484,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,7,,5;16;20,16;20,20,"{""20"": 37}","{""16"": 4857, ""20"": 4854}",77664,43.19466073414905,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],20>16:5,,7,26,
2026_07_15_01_26_56,000060,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,7,,3;17;18,17;3,3,"{""3"": 37}","{""3"": 4841, ""17"": 4967}",77456,43.07897664071191,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],3>17:6,,4,16,
2026_07_15_01_26_56,000062,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,7,,1;2;11,1;2,2,"{""2"": 37}","{""1"": 4921, ""2"": 4799}",76784,42.705228031145715,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],2>1:0,,16,31,
2026_07_15_01_26_56,000062,8,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,7,,8;9;14,8;14,14,"{""14"": 37}","{""8"": 4838, ""14"": 4968}",79488,44.209121245828705,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],14>8:1,,3,24,
2026_07_15_01_26_56,000062,10,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,7,,10;13;19,10;13,13,"{""13"": 37}","{""10"": 4955, ""13"": 4746}",75936,42.23359288097887,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],13>10:2,,6,33,
