scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;8;12,4;12,12,"{""12"": 61}","{""4"": 4886, ""12"": 4891}",78256,43.52391546162403,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],12>4:0,,15,34,
2026_07_15_01_26_56,000060,11,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;10;11,11;2,2,"{""2"": 55}","{""2"": 4863, ""11"": 4909}",77808,43.27474972191324,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],2>11:1,,16,32,
2026_07_15_01_26_56,000060,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,9;13;14;19,13;14,14,"{""14"": 53}","{""13"": 4793, ""14"": 5044}",80704,44.885428253615125,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],14>13:2,,0,11,
2026_07_15_01_26_56,000060,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15;6,6,"{""6"": 57}","{""6"": 4556, ""15"": 4740}",72896,40.54282536151279,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7,7,"{""7"": 56}","{""7"": 4908, ""16"": 4857}",78528,43.67519466073415,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],7>16:4,,12,29,
2026_07_15_01_26_56,000060,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;17;18,17;3,3,"{""3"": 60}","{""3"": 4977, ""17"": 4967}",79632,44.28921023359288,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],3>17:5,,4,16,
2026_07_15_01_26_56,000062,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2,2,"{""2"": 53}","{""1"": 4921, ""2"": 4862}",77792,43.265850945494996,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],2>1:0,,17,31,
2026_07_15_01_26_56,000062,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;12,12;4,4,"{""4"": 60}","{""4"": 4848, ""12"": 4894}",77568,43.1412680756396,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],4>12:1,,11,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15;6,6,"{""6"": 57}","{""6"": 4561, ""15"": 4745}",72976,40.587319243604,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],6>15:2,,12,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7,7,"{""7"": 57}","{""7"": 4906, ""16"": 4866}",78496,43.657397107897665,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],7>16:3,,9,29,
