parameter,setting,label,ap_03,ap_05,ap_07,aggregate_ap_scope,evaluated_samples,trace_rows,unique_timestamps,receiver_policy,late_fusion,inter_cluster_late_fusion,fusion_method,resource_allocation,clustering,upload_mode,grid_selection_mode,grid_score_mode,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,cluster_count_mode,payload_bytes,raw_lidar_mbps,box_bytes,box_mbps,total_mbps,mbps,avg_comm_bytes_per_trace_row,avg_source_cavs,avg_selected_grids,checkpoint,box_sharing_mode,log_path,trace_path,notes
rho_th,1,rho_th=1,0.65,0.61,0.25,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,40.0,60.0,ns3,899,0.5,10,12,28,6,19145360,37.356800,188512,0.367828,37.724628,37.724628,77826.67,2.00,58.58,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\rho1.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\rho1_trace.csv,current-protocol rho sweep; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used.
rho_th,2,rho_th=2,0.64,0.60,0.24,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,40.0,60.0,ns3,899,0.5,10,12,28,6,19122240,37.311688,186288,0.363489,37.675177,37.675177,77732.68,2.00,55.32,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\rho2.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\rho2_trace.csv,current-protocol rho sweep; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used.
rho_th,3,rho_th=3,0.64,0.60,0.25,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,40.0,60.0,ns3,899,0.5,10,12,28,6,18802688,36.688172,183328,0.357713,37.045885,37.045885,76433.69,2.00,37.00,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\base.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\base_trace.csv,current-protocol base point reused from Table3 diagnostic; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used.
N_max,2,N_max=2,0.82,0.77,0.39,pooled evaluator over evaluated samples,41,422,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,40.0,60.0,ns3,899,0.5,10,12,28,10,30506800,59.525463,310832,0.606501,60.131965,60.131965,72291.00,1.94,34.90,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\nmax2.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\nmax2_trace.csv,current-protocol cluster-capacity sweep; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used.
N_max,3,N_max=3,0.71,0.65,0.29,pooled evaluator over evaluated samples,41,312,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,40.0,60.0,ns3,899,0.5,10,12,28,8,20021616,39.066568,215840,0.421151,39.487719,39.487719,64171.85,1.84,31.07,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\nmax3.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\nmax3_trace.csv,current-protocol cluster-capacity sweep; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used.
N_max,4,N_max=4,0.64,0.60,0.25,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,40.0,60.0,ns3,899,0.5,10,12,28,6,18802688,36.688172,183328,0.357713,37.045885,37.045885,76433.69,2.00,37.00,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\base.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\base_trace.csv,current-protocol base point reused from Table3 diagnostic; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used.
N_max,5,N_max=5,0.62,0.57,0.21,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,40.0,60.0,ns3,899,0.5,10,12,28,6,18805568,36.693791,179392,0.350033,37.043824,37.043824,76445.40,2.00,37.00,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\nmax5.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\nmax5_trace.csv,current-protocol cluster-capacity sweep; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used.
N_max,6,N_max=6,0.62,0.57,0.21,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,40.0,60.0,ns3,899,0.5,10,12,28,6,18805568,36.693791,179392,0.350033,37.043824,37.043824,76445.40,2.00,37.00,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\nmax6.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\nmax6_trace.csv,current-protocol cluster-capacity sweep; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used.
target_subchannels,5,channels=5,0.60,0.56,0.21,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,5,40.0,60.0,ns3,899,0.5,10,12,28,6,15635136,30.507582,173840,0.339200,30.846782,30.846782,63557.46,1.83,30.83,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\ch5.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\ch5_trace.csv,"resource-stress diagnostic: target subchannel count changed; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used. This row intentionally varies target subchannel count and is a resource-sensitivity diagnostic, not the fixed-protocol main point."
target_subchannels,10,channels=10,0.64,0.60,0.25,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,40.0,60.0,ns3,899,0.5,10,12,28,6,18802688,36.688172,183328,0.357713,37.045885,37.045885,76433.69,2.00,37.00,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\base.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\base_trace.csv,"current-protocol base point reused from Table3 diagnostic; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used. This row intentionally varies target subchannel count and is a resource-sensitivity diagnostic, not the fixed-protocol main point."
target_subchannels,20,channels=20,0.64,0.60,0.25,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,inter_cluster_nms,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,20,40.0,60.0,ns3,899,0.5,10,12,28,6,18802688,36.688172,183328,0.357713,37.045885,37.045885,76433.69,2.00,37.00,attentive,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\ch20.log,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\ch20_trace.csv,"resource-stress diagnostic: target subchannel count changed; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used. This row intentionally varies target subchannel count and is a resource-sensitivity diagnostic, not the fixed-protocol main point."
