scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,4;8;12,4;12,12,"{""12"": 37}","{""4"": 4886, ""12"": 4821}",77136,42.901001112347046,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],12>4:0,,14,34,
2026_07_15_01_26_56,000060,11,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,1;2;10;11,11;10,10,"{""10"": 37}","{""10"": 4903, ""11"": 4909}",78448,43.63070077864294,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],10>11:1,,16,38,
2026_07_15_01_26_56,000060,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,9;13;14;19,13;14,14,"{""14"": 37}","{""13"": 4793, ""14"": 4980}",79680,44.31590656284761,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],14>13:2,,0,11,
2026_07_15_01_26_56,000060,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4464, ""15"": 4740}",71424,39.724137931034484,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,5;7;16;20,16;20,20,"{""20"": 37}","{""16"": 4857, ""20"": 4854}",77664,43.19466073414905,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],20>16:4,,7,26,
2026_07_15_01_26_56,000060,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,3;17;18,17;3,3,"{""3"": 37}","{""3"": 4841, ""17"": 4967}",77456,43.07897664071191,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],3>17:5,,4,16,
2026_07_15_01_26_56,000062,4,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,4;8;12,4;12,12,"{""12"": 37}","{""4"": 4848, ""12"": 4812}",76992,42.82091212458287,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],12>4:0,,10,35,
2026_07_15_01_26_56,000062,11,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,1;2;10;11,11;10,10,"{""10"": 37}","{""10"": 4908, ""11"": 4909}",78528,43.67519466073415,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],10>11:1,,16,37,
2026_07_15_01_26_56,000062,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,9;13;14;19,13;14,14,"{""14"": 37}","{""13"": 4793, ""14"": 4968}",79488,44.209121245828705,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],14>13:2,,1,11,
2026_07_15_01_26_56,000062,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4467, ""15"": 4745}",71472,39.75083426028921,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,12,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,5;7;16;20,16;20,20,"{""20"": 37}","{""16"": 4866, ""20"": 4853}",77648,43.18576195773081,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],20>16:4,,8,26,
2026_07_15_01_26_56,000062,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,3;17;18,17;3,3,"{""3"": 37}","{""3"": 4832, ""17"": 4985}",77312,42.998887652947715,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],3>17:5,,3,15,
2026_07_15_01_26_56,000064,4,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,fixed_first_frame,6,,4;8;12,4;12,12,"{""12"": 37}","{""4"": 4872, ""12"": 4815}",77040,42.847608453837594,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],12>4:0,,7,35,
