scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,2;4;11;17,4;2,2,"{""2"": 37}","{""2"": 4795, ""4"": 4886}",76720,42.66963292547275,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],2>4:0,,15,41,
2026_07_15_01_26_56,000060,9,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,9;12;13;14,9;14,14,"{""14"": 37}","{""9"": 4858, ""14"": 4980}",79680,44.31590656284761,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],14>9:1,,3,15,
2026_07_15_01_26_56,000060,10,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,1;3;8;10,10;3,3,"{""3"": 37}","{""3"": 4841, ""10"": 4953}",77456,43.07897664071191,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],3>10:2,,9,34,
2026_07_15_01_26_56,000060,19,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,5;6;16;19,19;16,16,"{""16"": 37}","{""16"": 4805, ""19"": 4844}",76880,42.75862068965517,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],16>19:3,,4,29,
2026_07_15_01_26_56,000060,20,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,7;15;18;20,20;7,7,"{""7"": 37}","{""7"": 4806, ""20"": 4909}",76896,42.767519466073416,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],7>20:4,,14,26,
2026_07_15_01_26_56,000062,2,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,2;12;15;16,2;12,12,"{""12"": 37}","{""2"": 4862, ""12"": 4812}",76992,42.82091212458287,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],12>2:0,,17,33,
2026_07_15_01_26_56,000062,5,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,5;8;11;17,5;17,17,"{""17"": 37}","{""5"": 4912, ""17"": 4833}",77328,43.007786429365964,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>5:1,,7,15,
2026_07_15_01_26_56,000062,9,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,1;7;9;19,9;7,7,"{""7"": 37}","{""7"": 4804, ""9"": 4859}",76864,42.749721913236925,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],7>9:2,,10,22,
2026_07_15_01_26_56,000062,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,6;13;14;18,13;14,14,"{""14"": 37}","{""13"": 4793, ""14"": 4968}",79488,44.209121245828705,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],14>13:3,,1,11,
2026_07_15_01_26_56,000062,20,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,3;4;10;20,20;3,3,"{""3"": 37}","{""3"": 4832, ""20"": 4908}",77312,42.998887652947715,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],3>20:4,,11,25,
2026_07_15_01_26_56,000064,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,1;5;9;15,1;9,9,"{""9"": 37}","{""1"": 4921, ""9"": 4838}",77408,43.052280311457174,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],9>1:0,,12,30,
2026_07_15_01_26_56,000064,7,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,4;7;13;18,7;4,4,"{""4"": 37}","{""4"": 4798, ""7"": 4911}",76768,42.69632925472747,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],4>7:1,,14,37,
2026_07_15_01_26_56,000064,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,6;12;16;17,12;17,17,"{""17"": 37}","{""12"": 4896, ""17"": 4809}",76944,42.79421579532814,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>12:2,,6,28,
2026_07_15_01_26_56,000064,19,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,2;11;14;19,19;14,14,"{""14"": 37}","{""14"": 4972, ""19"": 4819}",79552,44.24471635150167,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],14>19:3,,1,10,
2026_07_15_01_26_56,000064,20,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,3;8;10;20,20;3,3,"{""3"": 37}","{""3"": 4823, ""20"": 4908}",77168,42.91879866518354,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],3>20:4,,10,25,
2026_07_15_01_26_56,000066,5,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,2;5;7;9,5;2,2,"{""2"": 37}","{""2"": 4816, ""5"": 4912}",77056,42.856507230255836,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],2>5:0,,19,34,
2026_07_15_01_26_56,000066,8,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,4;8;15;20,8;20,20,"{""20"": 37}","{""8"": 4838, ""20"": 4854}",77664,43.19466073414905,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],20>8:1,,10,31,
2026_07_15_01_26_56,000066,11,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,3;6;11;17,11;3,3,"{""3"": 37}","{""3"": 4826, ""11"": 4913}",77216,42.94549499443826,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],3>11:2,,12,20,
2026_07_15_01_26_56,000066,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,random_balanced,5,,1;12;18;19,12;1,1,"{""1"": 37}","{""1"": 4902, ""12"": 4884}",78432,43.62180200222469,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],1>12:3,,13,25,
