scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,1,1,,{},"{""1"": 4918}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,7,16,
2026_07_15_01_26_56,000060,2,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,2,2;8,8,"{""8"": 39}","{""2"": 4863, ""8"": 4752}",76032,4.228698553948831,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,13,39,
2026_07_15_01_26_56,000060,3,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,3,3;18,18,"{""18"": 39}","{""3"": 4977, ""18"": 4823}",77168,4.291879866518354,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,2,11,
2026_07_15_01_26_56,000060,4,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,4,4;1,1,"{""1"": 39}","{""1"": 4882, ""4"": 4886}",78112,4.344382647385984,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,1,15,34,
2026_07_15_01_26_56,000060,5,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,5,5,,{},"{""5"": 4909}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,5,9,
2026_07_15_01_26_56,000060,6,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,6,6;15,15,"{""15"": 49}","{""6"": 4556, ""15"": 4711}",75376,4.1922135706340375,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,15,12,17,
2026_07_15_01_26_56,000060,7,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,7,7;12,12,"{""12"": 39}","{""7"": 4908, ""12"": 4693}",75088,4.176195773081202,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,12,12,36,
2026_07_15_01_26_56,000060,8,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,8,8,,{},"{""8"": 4838}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,4,24,
2026_07_15_01_26_56,000060,9,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,9,9,,{},"{""9"": 4858}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,3,15,
2026_07_15_01_26_56,000060,10,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,10,10,,{},"{""10"": 4953}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,6,31,
2026_07_15_01_26_56,000060,11,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,11,11;9,9,"{""9"": 39}","{""9"": 4823, ""11"": 4909}",77168,4.291879866518354,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,12,26,
2026_07_15_01_26_56,000060,12,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,12,12,,{},"{""12"": 4891}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,8,22,
2026_07_15_01_26_56,000060,13,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,13,13;10,10,"{""10"": 39}","{""10"": 4815, ""13"": 4793}",77040,4.28476084538376,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,10,6,34,
2026_07_15_01_26_56,000060,14,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,14,14,,{},"{""14"": 5044}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,0,0,
2026_07_15_01_26_56,000060,15,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,15,15,,{},"{""15"": 4740}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,11,9,
2026_07_15_01_26_56,000060,16,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,16,16;20,20,"{""20"": 39}","{""16"": 4857, ""20"": 2264}",36224,2.0146829810901,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,20,4,26,
2026_07_15_01_26_56,000060,17,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,17,17,,{},"{""17"": 4967}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,1,10,
2026_07_15_01_26_56,000060,18,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,18,18,,{},"{""18"": 5003}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,0,5,
2026_07_15_01_26_56,000060,19,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,19,19;5,5,"{""5"": 39}","{""5"": 4856, ""19"": 4844}",77696,4.321245828698554,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,5,17,
2026_07_15_01_26_56,000060,20,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,20,20,,{},"{""20"": 4909}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,8,19,
2026_07_15_01_26_56,000062,1,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,1,1,,{},"{""1"": 4921}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,8,16,
2026_07_15_01_26_56,000062,2,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,2,2;8,8,"{""8"": 39}","{""2"": 4862, ""8"": 4750}",76000,4.226918798665183,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,14,40,
2026_07_15_01_26_56,000062,3,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,3,3;18,18,"{""18"": 39}","{""3"": 4976, ""18"": 4858}",77728,4.3230255839822025,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,2,11,
2026_07_15_01_26_56,000062,4,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,4,4;1,1,"{""1"": 39}","{""1"": 4882, ""4"": 4848}",78112,4.344382647385984,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,1,14,34,
2026_07_15_01_26_56,000062,5,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,5,5,,{},"{""5"": 4912}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,6,9,
2026_07_15_01_26_56,000062,6,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,6,6;15,15,"{""15"": 49}","{""6"": 4561, ""15"": 4722}",75552,4.2020022246941044,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,15,11,17,
2026_07_15_01_26_56,000062,7,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,7,7;12,12,"{""12"": 39}","{""7"": 4906, ""12"": 4688}",75008,4.17174638487208,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,12,13,34,
2026_07_15_01_26_56,000062,8,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,8,8,,{},"{""8"": 4838}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,3,24,
2026_07_15_01_26_56,000062,9,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,9,9,,{},"{""9"": 4859}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,4,15,
2026_07_15_01_26_56,000062,10,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,10,10,,{},"{""10"": 4955}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,5,30,
2026_07_15_01_26_56,000062,11,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,11,11;9,9,"{""9"": 39}","{""9"": 4824, ""11"": 4909}",77184,4.292769744160178,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,12,26,
2026_07_15_01_26_56,000062,12,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,12,12,,{},"{""12"": 4894}",0,0.0,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,,6,20,
